Session,Date,Present,Reason,No Reason,Visitors,% Accounted For
80C*-Youth Adult Leaders Sun Night '22-23,02/27/2023,12,0,8,1,57.89%
42C-Man2Man Sunday Group,02/26/2023,7,0,13,1,31.58%
42D-Man2Man Wednesday Group,02/26/2023,18,0,52,0,25.71%
70A-SS Adult Cobb - Median Adults - Worship Studio,02/26/2023,10,0,15,4,28.57%
70A-SS Adult College RM 219,02/26/2023,8,0,89,1,7.29%
70A-SS Adult Grace and Truth - Kunsitis-Rm 172,02/26/2023,8,0,11,0,42.11%
70A-SS Adult Homebuilders-Rm 212,02/26/2023,25,0,14,0,64.10%
70A-SS Adult Penner - Rm 210,02/26/2023,15,0,11,1,56.00%
70A-SS Adult Truth Seekers - Cantrell Rm 205,02/26/2023,25,0,47,1,33.80%
70A-SS Adults McGraw-Median Adults-Rm 105,02/26/2023,39,0,35,1,52.05%
70A-SS WM Word of Truth Class-Rm 171,02/26/2023,8,0,13,2,31.58%
80A-Youth Sunday Morning Lounge,02/26/2023,38,0,31,0,55.07%
80C-Youth HS Boys 2021-2022,02/26/2023,7,0,18,0,28.00%
80C-Youth HS Girls 2021-2022,02/26/2023,12,0,24,0,33.33%
80C-Youth MS Boys 2021-2022,02/26/2023,15,0,29,0,34.09%
80C-Youth MS Girls 2021-2022,02/26/2023,7,0,37,0,15.91%
82A*-KIDS SS Leaders 930,02/26/2023,10,0,0,0,100.00%
82A-KIDS 1st Grade 930 Rm 12,02/26/2023,5,0,12,0,29.41%
82A-KIDS 2nd Grade 930 Rm 11,02/26/2023,3,0,17,0,15.00%
82A-KIDS 3rd Grade 930 Rm 11,02/26/2023,5,0,12,1,25.00%
82A-KIDS 4th Girls 930 Rm 20,02/26/2023,3,0,7,0,30.00%
82A-KIDS 4th Guys 930 Rm 20,02/26/2023,1,0,6,0,14.29%
82A-KIDS 5th Girls 930 Rm 20,02/26/2023,3,0,2,0,60.00%
82A-KIDS 5th Guys 930 Rm 20,02/26/2023,1,0,6,0,14.29%
82A-KIDS Kindergarten (9:30am) RM12,02/26/2023,8,0,14,0,36.36%
82B*-KIDS Church Leaders 11am,02/26/2023,10,0,5,0,66.67%
82B-KIDS Church 11am Room 05,02/26/2023,60,0,73,0,45.11%
86A*-PRE Workers 930,02/26/2023,8,0,4,0,66.67%
86A-PRE Babies/Toddlers 9:30 (RM 118),02/26/2023,3,0,9,0,25.00%
86A-PRE Older Preschool 9:30 (RM 108),02/26/2023,5,0,10,0,33.33%
86A-PRE Younger Preschool 9:30 (RM 111),02/26/2023,1,0,8,0,11.11%
86B*-PRE Workers 11am,02/26/2023,1,0,47,0,2.08%
86B-PRE - Babies/Toddlers 11:00 (RM 118),02/26/2023,7,0,13,0,35.00%
86B-PRE - Older Preschool 11:00 (RM 108),02/26/2023,7,0,28,0,20.00%
86B-PRE - Younger Preschool 11:00 (RM 111),02/26/2023,4,0,16,0,20.00%
84D*-Kids Club Leaders,02/22/2023,32,0,7,0,82.05%
84D-KIDS CLUB 1st GRADE - RM 08,02/22/2023,8,0,5,0,61.54%
84D-KIDS CLUB 2nd & 3rd RM 15,02/22/2023,4,0,4,0,50.00%
84D-KIDS CLUB 2nd & 3rd RM 20,02/22/2023,5,0,9,0,35.71%
84D-KIDS CLUB 4TH & 5TH BOYS - RM 14,02/22/2023,6,0,3,0,66.67%
84D-KIDS CLUB 4th & 5th GIRLS - RM 16,02/22/2023,5,0,2,0,71.43%
84D-KIDS CLUB CUBBIES RM 110,02/22/2023,10,0,7,0,58.82%
84D-KIDS CLUB KINDERGARTEN - RM 09,02/22/2023,4,0,8,0,33.33%
84D-KIDS CLUB PUGGLES RM 111 (2's),02/22/2023,3,0,2,0,60.00%
44D-WM Garden at Grove Tuesday Morning,02/21/2023,42,0,32,0,56.76%
44D-WM Garden at Grove Tuesday Night,02/21/2023,25,0,63,0,28.41%
42C-Man2Man Sunday Group,02/19/2023,6,0,24,0,20.00%
50C-Kids Collective - RM 5,02/19/2023,6,0,31,0,16.22%
50C-Kids Collective Jr. RM 123/124,02/19/2023,7,0,12,0,36.84%
70A-SS Adult Cobb - Median Adults - Worship Studio,02/19/2023,8,0,19,6,9.52%
70A-SS Adult College RM 219,02/19/2023,9,0,92,1,8.00%
70A-SS Adult Grace and Truth - Kunsitis-Rm 172,02/19/2023,7,0,12,0,36.84%
70A-SS Adult Homebuilders-Rm 212,02/19/2023,15,0,26,0,36.59%
70A-SS Adult Penner - Rm 210,02/19/2023,9,0,16,0,36.00%
70A-SS Adult Truth Seekers - Cantrell Rm 205,02/19/2023,24,0,47,0,33.80%
70A-SS Adults McGraw-Median Adults-Rm 105,02/19/2023,33,0,41,1,43.84%
70A-SS WM Word of Truth Class-Rm 171,02/19/2023,9,0,13,3,31.58%
80A-Youth Sunday Morning Lounge,02/19/2023,34,0,39,4,43.48%
80C*-Youth Adult Leaders Sun Night '22-23,02/19/2023,17,0,4,2,78.95%
80C-Youth HS Boys 2021-2022,02/19/2023,9,0,16,0,36.00%
80C-Youth HS Girls 2021-2022,02/19/2023,14,0,22,0,38.89%
80C-Youth MS Boys 2021-2022,02/19/2023,13,0,31,0,29.55%
80C-Youth MS Girls 2021-2022,02/19/2023,7,0,38,1,13.64%
82A*-KIDS SS Leaders 930,02/19/2023,8,0,3,1,70.00%
82A-KIDS 1st Grade 930 Rm 12,02/19/2023,3,0,14,0,17.65%
82A-KIDS 2nd Grade 930 Rm 11,02/19/2023,4,0,16,0,20.00%
82A-KIDS 3rd Grade 930 Rm 11,02/19/2023,4,0,12,0,25.00%
82A-KIDS 4th Girls 930 Rm 20,02/19/2023,1,0,9,0,10.00%
82A-KIDS 4th Guys 930 Rm 20,02/19/2023,1,0,6,0,14.29%
82A-KIDS 5th Girls 930 Rm 20,02/19/2023,1,0,4,0,20.00%
82A-KIDS Kindergarten (9:30am) RM12,02/19/2023,5,0,17,0,22.73%
